Eckman   		 Rayleigh   		 Upper Bound
1.0000e-09 		 8.186621e+12 		 1.000000e+00
1.0000e-09 		 8.652344e+12 		 1.065717e+00
1.0000e-09 		 9.144561e+12 		 1.204991e+00
1.0000e-09 		 9.664779e+12 		 1.365523e+00
1.0000e-09 		 1.021459e+13 		 1.551036e+00
1.0000e-09 		 1.079568e+13 		 1.766050e+00
1.0000e-09 		 1.140983e+13 		 2.016121e+00
1.0000e-09 		 1.205891e+13 		 2.308175e+00
1.0000e-09 		 1.274492e+13 		 2.650973e+00
1.0000e-09 		 1.346996e+13 		 3.055797e+00
1.0000e-09 		 1.423624e+13 		 3.537445e+00
1.0000e-09 		 1.504612e+13 		 4.115756e+00
1.0000e-09 		 1.590207e+13 		 4.817985e+00
1.0000e-09 		 1.680671e+13 		 5.682634e+00
1.0000e-09 		 1.776281e+13 		 6.765880e+00
1.0000e-09 		 1.877331e+13 		 8.152837e+00
1.0000e-09 		 1.984129e+13 		 9.978339e+00
1.0000e-09 		 2.097002e+13 		 1.246766e+01
1.0000e-09 		 2.216297e+13 		 1.602219e+01
1.0000e-09 		 2.342378e+13 		 2.141511e+01
1.0000e-09 		 2.475632e+13 		 3.027920e+01
1.0000e-09 		 2.616467e+13 		 4.641374e+01
1.0000e-09 		 2.765313e+13 		 7.917854e+01
1.0000e-09 		 2.922627e+13 		 1.508709e+02
1.0000e-09 		 3.088890e+13 		 2.936568e+02
1.0000e-09 		 3.264611e+13 		 5.262595e+02
1.0000e-09 		 3.450329e+13 		 8.534457e+02
1.0000e-09 		 3.646612e+13 		 1.276146e+03
1.0000e-09 		 3.854062e+13 		 1.795221e+03
1.0000e-09 		 4.073313e+13 		 2.412018e+03
1.0000e-09 		 4.305036e+13 		 3.128357e+03
1.0000e-09 		 4.549942e+13 		 3.946481e+03
1.0000e-09 		 4.808781e+13 		 4.869014e+03
1.0000e-09 		 5.082344e+13 		 5.898959e+03
1.0000e-09 		 5.371469e+13 		 7.039670e+03
1.0000e-09 		 5.677043e+13 		 8.294856e+03
1.0000e-09 		 6.000000e+13 		 9.668611e+03
