Eckman   		 Rayleigh   		 Upper Bound
1.0000e-06 		 7.742637e+08 		 1.000000e+00
1.0000e-06 		 8.111308e+08 		 1.120968e+00
1.0000e-06 		 8.497534e+08 		 1.276009e+00
1.0000e-06 		 8.902151e+08 		 1.461660e+00
1.0000e-06 		 9.326033e+08 		 1.686361e+00
1.0000e-06 		 9.770100e+08 		 1.961635e+00
1.0000e-06 		 1.023531e+09 		 2.303496e+00
1.0000e-06 		 1.072267e+09 		 2.734551e+00
1.0000e-06 		 1.123324e+09 		 3.301209e+00
1.0000e-06 		 1.176812e+09 		 4.073814e+00
1.0000e-06 		 1.232847e+09 		 5.117653e+00
1.0000e-06 		 1.291550e+09 		 6.549942e+00
1.0000e-06 		 1.353048e+09 		 8.533351e+00
1.0000e-06 		 1.417474e+09 		 1.127882e+01
1.0000e-06 		 1.484968e+09 		 1.503405e+01
1.0000e-06 		 1.555676e+09 		 2.005585e+01
1.0000e-06 		 1.629751e+09 		 2.657704e+01
1.0000e-06 		 1.707353e+09 		 3.478451e+01
1.0000e-06 		 1.788650e+09 		 4.481600e+01
1.0000e-06 		 1.873817e+09 		 5.676965e+01
1.0000e-06 		 1.963041e+09 		 7.071733e+01
1.0000e-06 		 2.056512e+09 		 8.671595e+01
1.0000e-06 		 2.154435e+09 		 1.048153e+02
1.0000e-06 		 2.257020e+09 		 1.250631e+02
1.0000e-06 		 2.364489e+09 		 1.475078e+02
1.0000e-06 		 2.477076e+09 		 1.722004e+02
1.0000e-06 		 2.595024e+09 		 1.991955e+02
1.0000e-06 		 2.718588e+09 		 2.285522e+02
1.0000e-06 		 2.848036e+09 		 2.603341e+02
1.0000e-06 		 2.983647e+09 		 2.946098e+02
1.0000e-06 		 3.125716e+09 		 3.314535e+02
1.0000e-06 		 3.274549e+09 		 3.709445e+02
1.0000e-06 		 3.430469e+09 		 4.131683e+02
1.0000e-06 		 3.593814e+09 		 4.582158e+02
1.0000e-06 		 3.764936e+09 		 5.061843e+02
1.0000e-06 		 3.944206e+09 		 5.571775e+02
1.0000e-06 		 4.132012e+09 		 6.113056e+02
1.0000e-06 		 4.328761e+09 		 6.686855e+02
1.0000e-06 		 4.534879e+09 		 7.294412e+02
1.0000e-06 		 4.750810e+09 		 7.937042e+02
1.0000e-06 		 4.977024e+09 		 8.616133e+02
1.0000e-06 		 5.214008e+09 		 9.333154e+02
1.0000e-06 		 5.462277e+09 		 1.008966e+03
1.0000e-06 		 5.722368e+09 		 1.088728e+03
1.0000e-06 		 5.994843e+09 		 1.172882e+03
1.0000e-06 		 6.280291e+09 		 1.261716e+03
1.0000e-06 		 6.579332e+09 		 1.355413e+03
1.0000e-06 		 6.892612e+09 		 1.454166e+03
1.0000e-06 		 7.220809e+09 		 1.558178e+03
1.0000e-06 		 7.564633e+09 		 1.667663e+03
1.0000e-06 		 7.924829e+09 		 1.782846e+03
1.0000e-06 		 8.302176e+09 		 1.903968e+03
1.0000e-06 		 8.697490e+09 		 2.031279e+03
1.0000e-06 		 9.111628e+09 		 2.165049e+03
1.0000e-06 		 9.545485e+09 		 2.305557e+03
1.0000e-06 		 1.000000e+10 		 2.453101e+03
