Eckman   		 Rayleigh   		 Upper Bound
1.0000e-05 		 3.274549e+07 		 1.000000e+00
1.0000e-05 		 3.457168e+07 		 1.012097e+00
1.0000e-05 		 3.649972e+07 		 1.209053e+00
1.0000e-05 		 3.853529e+07 		 1.461216e+00
1.0000e-05 		 4.068437e+07 		 1.789562e+00
1.0000e-05 		 4.295331e+07 		 2.223731e+00
1.0000e-05 		 4.534879e+07 		 2.804916e+00
1.0000e-05 		 4.787785e+07 		 3.588459e+00
1.0000e-05 		 5.054797e+07 		 4.644808e+00
1.0000e-05 		 5.336699e+07 		 6.057196e+00
1.0000e-05 		 5.634323e+07 		 7.915429e+00
1.0000e-05 		 5.948545e+07 		 1.030740e+01
1.0000e-05 		 6.280291e+07 		 1.331167e+01
1.0000e-05 		 6.630539e+07 		 1.699376e+01
1.0000e-05 		 7.000319e+07 		 2.140632e+01
1.0000e-05 		 7.390722e+07 		 2.659167e+01
1.0000e-05 		 7.802897e+07 		 3.258505e+01
1.0000e-05 		 8.238059e+07 		 3.941748e+01
1.0000e-05 		 8.697490e+07 		 4.711801e+01
1.0000e-05 		 9.182543e+07 		 5.571532e+01
1.0000e-05 		 9.694647e+07 		 6.523876e+01
1.0000e-05 		 1.023531e+08 		 7.571915e+01
1.0000e-05 		 1.080613e+08 		 8.718926e+01
1.0000e-05 		 1.140878e+08 		 9.968422e+01
1.0000e-05 		 1.204504e+08 		 1.132418e+02
1.0000e-05 		 1.271678e+08 		 1.279025e+02
1.0000e-05 		 1.342598e+08 		 1.437102e+02
1.0000e-05 		 1.417474e+08 		 1.607116e+02
1.0000e-05 		 1.496526e+08 		 1.789573e+02
1.0000e-05 		 1.579986e+08 		 1.985010e+02
1.0000e-05 		 1.668101e+08 		 2.194006e+02
1.0000e-05 		 1.761129e+08 		 2.417177e+02
1.0000e-05 		 1.859346e+08 		 2.655182e+02
1.0000e-05 		 1.963041e+08 		 2.908722e+02
1.0000e-05 		 2.072518e+08 		 3.178544e+02
1.0000e-05 		 2.188101e+08 		 3.465445e+02
1.0000e-05 		 2.310130e+08 		 3.770269e+02
1.0000e-05 		 2.438964e+08 		 4.093915e+02
1.0000e-05 		 2.574983e+08 		 4.437337e+02
1.0000e-05 		 2.718588e+08 		 4.801545e+02
1.0000e-05 		 2.870202e+08 		 5.187699e+02
1.0000e-05 		 3.030271e+08 		 5.597674e+02
1.0000e-05 		 3.199267e+08 		 6.032802e+02
1.0000e-05 		 3.377688e+08 		 6.494308e+02
1.0000e-05 		 3.566059e+08 		 6.983496e+02
1.0000e-05 		 3.764936e+08 		 7.501755e+02
1.0000e-05 		 3.974904e+08 		 8.050564e+02
1.0000e-05 		 4.196581e+08 		 8.631497e+02
1.0000e-05 		 4.430621e+08 		 9.246228e+02
1.0000e-05 		 4.677714e+08 		 9.896536e+02
1.0000e-05 		 4.938587e+08 		 1.058431e+03
1.0000e-05 		 5.214008e+08 		 1.131155e+03
1.0000e-05 		 5.504790e+08 		 1.208038e+03
1.0000e-05 		 5.811788e+08 		 1.289306e+03
1.0000e-05 		 6.135907e+08 		 1.375196e+03
1.0000e-05 		 6.478102e+08 		 1.465961e+03
1.0000e-05 		 6.839382e+08 		 1.561868e+03
1.0000e-05 		 7.220809e+08 		 1.663198e+03
1.0000e-05 		 7.623508e+08 		 1.770250e+03
1.0000e-05 		 8.048666e+08 		 1.883349e+03
1.0000e-05 		 8.497534e+08 		 2.003623e+03
1.0000e-05 		 8.971436e+08 		 2.132062e+03
1.0000e-05 		 9.471766e+08 		 2.269213e+03
1.0000e-05 		 1.000000e+09 		 2.415659e+03
